RSTA-RXN RSTB-RXN
RXN0-5202 SELENOCYSTEINE-LYASE-RXN
HYDROXYLAMINE-REDUCTASE-RXN SELENOCYSTEINE-LYASE-RXN
RXN0-6461 SELENOCYSTEINE-LYASE-RXN
RXN-11362 SELENOCYSTEINE-LYASE-RXN
2.7.9.3-RXN SELENOCYSTEINE-LYASE-RXN
ALANINE--TRNA-LIGASE-RXN SELENOCYSTEINE-LYASE-RXN
RXN-11484 SELENOCYSTEINE-LYASE-RXN
RXN0-2101 SELENOCYSTEINE-LYASE-RXN
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN SELENOCYSTEINE-LYASE-RXN
TRANS-RXN0-480 SELENOCYSTEINE-LYASE-RXN
ALARACECAT-RXN SELENOCYSTEINE-LYASE-RXN
RXN-11319 SELENOCYSTEINE-LYASE-RXN
1.2.99.7-RXN SELENOCYSTEINE-LYASE-RXN
RXN0-3281 SELENOCYSTEINE-LYASE-RXN
CYT-ACC-RXN SELENOCYSTEINE-LYASE-RXN
VALINE-PYRUVATE-AMINOTRANSFER-RXN SELENOCYSTEINE-LYASE-RXN
TRANS-RXN-125 SELENOCYSTEINE-LYASE-RXN
RXN-12588 SELENOCYSTEINE-LYASE-RXN
RXN0-6371 SELENOCYSTEINE-LYASE-RXN
THIFIS-RXN SELENOCYSTEINE-LYASE-RXN
7KAPSYN-RXN SELENOCYSTEINE-LYASE-RXN
CROBETREDUCT-RXN SELENOCYSTEINE-LYASE-RXN
TRANS-RXN0-469 SELENOCYSTEINE-LYASE-RXN
L-LACTDEHYDROGFMN-RXN SELENOCYSTEINE-LYASE-RXN
UDP-NACMUR-ALA-LIG-RXN SELENOCYSTEINE-LYASE-RXN
RXN0-1701 RXN0-2241
UHPC-RXN GLUCOKIN-RXN
GLU6PDEHYDROG-RXN GLUCOKIN-RXN
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN GLUCOKIN-RXN
BETA-PHOSPHOGLUCOMUTASE-RXN GLUCOKIN-RXN
RXN0-963 GLUCOKIN-RXN
PGLUCISOM-RXN GLUCOKIN-RXN
TRANS-RXN-33 GLUCOKIN-RXN
MCPTAR-RXN CHERTARM-RXN
VALINE-PYRUVATE-AMINOTRANSFER-RXN TRANS-RXN0-269
BRANCHED-CHAINAMINOTRANSFERVAL-RXN TRANS-RXN0-269
TRANS-RXN-126A TRANS-RXN0-269
VALINE--TRNA-LIGASE-RXN TRANS-RXN0-269
ABC-36-RXN TRANS-RXN0-269
RXN0-2361 TRANS-RXN0-268
ABC-24-RXN TRANS-RXN0-266
SPERMACTRAN-RXN TRANS-RXN0-266
GSPSYN-RXN TRANS-RXN0-266
ORNDECARBOX-RXN ABC-37-RXN
TRANS-RXN0-211 ABC-37-RXN
ORNCARBAMTRANSFER-RXN ABC-37-RXN
GALACTODEHYDROG-RXN BETAGALACTOSID-RXN
ALDOSE1EPIM-RXN BETAGALACTOSID-RXN
ALDOSE-1-EPIMERASE-RXN BETAGALACTOSID-RXN
RXN-12402 BETAGALACTOSID-RXN
GLUCDEHYDROG-RXN BETAGALACTOSID-RXN
3.2.1.21-RXN BETAGALACTOSID-RXN
TRANS-RXN-21 BETAGALACTOSID-RXN
GLUCOKIN-RXN BETAGALACTOSID-RXN
MALTODEG-RXN BETAGALACTOSID-RXN
RXN0-6730 BETAGALACTOSID-RXN
RXN0-6372 BETAGALACTOSID-RXN
RXN0-6373 BETAGALACTOSID-RXN
AMYLOMALT-RXN BETAGALACTOSID-RXN
TRANS-RXN-157 BETAGALACTOSID-RXN
R138-RXN BETAGALACTOSID-RXN
R139-RXN BETAGALACTOSID-RXN
ABC-18-RXN BETAGALACTOSID-RXN
RXN0-6418 BETAGALACTOSID-RXN
LTAA-RXN RXN0-986
RXN0-3962 RXN0-986
TRANS-RXN0-447 RXN0-986
DEOXYADENPHOSPHOR-RXN RXN0-986
ADENINE-DEAMINASE-RXN RXN0-986
ADENPHOSPHOR-RXN RXN0-986
ALCOHOL-DEHYDROG-RXN RXN0-986
RXN0-5234 RXN0-986
MHPELY-RXN RXN0-986
DEOXYRIBOSE-P-ALD-RXN RXN0-986
RXN0-2022 RXN0-986
GLYCINE--TRNA-LIGASE-RXN RXN0-1641
LTAA-RXN RXN0-1641
AKBLIG-RXN RXN0-1641
GCVMULTI-RXN RXN0-1641
RXN0-5234 RXN0-1641
GLYOHMETRANS-RXN RXN0-1641
PHENYLSERINE-ALDOLASE-RXN RXN0-1641
RXN0-6470 RXN0-1641
RXN0-6563 RXN0-1641
GLUTATHIONE-SYN-RXN RXN0-1641
GLYRIBONUCSYN-RXN RXN0-1641
TRANS-RXN-62B RXN0-1641
GCVP-RXN RXN0-1641
TRANS-RXN0-447 RXN0-984
DEOXYADENPHOSPHOR-RXN RXN0-984
ADENINE-DEAMINASE-RXN RXN0-984
ADENPHOSPHOR-RXN RXN0-984
RXN-12353 RXN0-984
RXN-2881 RXN0-984
RXN-2961 RXN0-984
CYTDEAM-RXN RXN0-985
TRANS-RXN-116 RXN0-985
RXN-12353 RXN0-985
RXN-2881 RXN0-985
RXN-2961 RXN0-985
TRANS-RXN0-447 ADENOSINE-NUCLEOSIDASE-RXN
DEOXYADENPHOSPHOR-RXN ADENOSINE-NUCLEOSIDASE-RXN
RIBOKIN-RXN ADENOSINE-NUCLEOSIDASE-RXN
R148-RXN ADENOSINE-NUCLEOSIDASE-RXN
ADENINE-DEAMINASE-RXN ADENOSINE-NUCLEOSIDASE-RXN
ADENPHOSPHOR-RXN ADENOSINE-NUCLEOSIDASE-RXN
RXN0-5305 ADENOSINE-NUCLEOSIDASE-RXN
INOSINE-NUCLEOSIDASE-RXN ADENOSINE-NUCLEOSIDASE-RXN
RXN0-5226 TRANS-RXN0-258
ACECOATRANS-RXN KETOACYLCOATHIOL-RXN
ACYLCOASYN-RXN KETOACYLCOATHIOL-RXN
OHACYL-COA-DEHYDROG-RXN KETOACYLCOATHIOL-RXN
TRANSENOYLCOARED-RXN KETOACYLCOATHIOL-RXN
ACYLCOADEHYDROG-RXN KETOACYLCOATHIOL-RXN
THIOESTER-RXN KETOACYLCOATHIOL-RXN
RXN0-3021 ABC-20-RXN
RXN0-5250 ABC-20-RXN
TRANS-RXN-141B ABC-20-RXN
RXN0-6571 ABC-20-RXN
PRPPSYN-RXN RIBOKIN-RXN
1TRANSKETO-RXN RIBOKIN-RXN
RIB5PISOM-RXN RIBOKIN-RXN
PPENTOMUT-RXN RIBOKIN-RXN
RXN0-5398 RIBOKIN-RXN
NMNNUCLEOSID-RXN RIBOKIN-RXN
3.4.23.43-RXN 3.4.21.83-RXN
RXN0-3201 3.4.21.83-RXN
3.5.1.28-RXN 3.4.21.83-RXN
3.4.11.1-RXN 3.4.21.83-RXN
3.4.21.92-RXN 3.4.21.83-RXN
RXN0-5103 3.4.21.83-RXN
3.4.21.87-RXN 3.4.21.83-RXN
RXN0-3261 3.4.21.83-RXN
RXN0-5052 3.4.21.83-RXN
RXN0-5051 3.4.21.83-RXN
RXN0-5204 3.4.21.83-RXN
GAMMA-GLUTAMYLTRANSFERASE-RXN 3.4.21.83-RXN
3.4.21.53-RXN 3.4.21.83-RXN
3.4.24.70-RXN 3.4.21.83-RXN
3.4.24.55-RXN 3.4.21.83-RXN
3.4.21.102-RXN 3.4.21.83-RXN
ABC-22-RXN 3.4.21.83-RXN
3.4.11.9-RXN 3.4.21.83-RXN
3.4.15.5-RXN 3.4.21.83-RXN
RXN0-3221 3.4.21.83-RXN
RXN0-2042 PHENYLACETATE--COA-LIGASE-RXN
RXN0-5450 PHENYLACETATE--COA-LIGASE-RXN
DARABKIN-RXN DARABISOM-RXN
PRODISULFREDUCT-A-RXN GLUTAREDOXIN-RXN
RXN-982 GLUTAREDOXIN-RXN
ACSERLY-RXN ACECOATRANS-RXN
RXN0-5513 ACECOATRANS-RXN
RXN0-1802 ACECOATRANS-RXN
ACETOACETYL-COA-TRANSFER-RXN ACECOATRANS-RXN
RXN0-1981 ACECOATRANS-RXN
THIOESTER-RXN ACECOATRANS-RXN
RXN0-5414 ACECOATRANS-RXN
KETOACYLCOATHIOL-RXN ACECOATRANS-RXN
CITC-RXN ACECOATRANS-RXN
TRANS-RXN0-443 ACECOATRANS-RXN
ACYLCOASYN-RXN ACECOATRANS-RXN
TRANSENOYLCOARED-RXN ACECOATRANS-RXN
ACETATEKIN-RXN ACECOATRANS-RXN
ACYLCOADEHYDROG-RXN ACECOATRANS-RXN
RXN0-6725 ACECOATRANS-RXN
FORMYLTHFDEFORMYL-RXN FORMATETHFLIG-RXN
GART-RXN FORMATETHFLIG-RXN
METHENYLTHFCYCLOHYDRO-RXN FORMATETHFLIG-RXN
AICARTRANSFORM-RXN FORMATETHFLIG-RXN
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN FORMATETHFLIG-RXN
RXN0-1862 FORMATETHFLIG-RXN
UHPC-RXN GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
GLU6PDEHYDROG-RXN GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
TREHALOSE6PSYN-RXN GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
BETA-PHOSPHOGLUCOMUTASE-RXN GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
RXN0-963 GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
PGLUCISOM-RXN GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
PHOSPHOGLUCMUT-RXN GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
TRANS-RXN-33 GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN
TRANS-RXN0-266 SPERMIDINESYN-RXN
ABC-24-RXN SPERMIDINESYN-RXN
SPERMACTRAN-RXN SPERMIDINESYN-RXN
GSPSYN-RXN SPERMIDINESYN-RXN
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN SPERMIDINESYN-RXN
RXN0-5465 RXN0-4641
RXN0-6436 RXN0-4641
NANE-RXN RXN0-4641
NAG6PDEACET-RXN RXN0-4641
DLACTDEHYDROGFAD-RXN RXN0-4641
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN RXN0-4641
GLUTRNAREDUCT-RXN GSAAMINOTRANS-RXN
PORPHOBILSYNTH-RXN GSAAMINOTRANS-RXN
RXN0-5021 RXN0-4261
RXN0-5039 RXN0-4261
3.1.11.6-RXN RXN0-4261
RXN-7101 BIOTINLIG-RXN
RXN0-6277 BIOTINLIG-RXN
TRANS-RXN0-240 BIOTINLIG-RXN
THRESYN-RXN HOMOSERKIN-RXN
MYRISTOYLACYLTRAN-RXN MYRPALMTRAN-RXN
RXN-9539 MYRPALMTRAN-RXN
PALMITOTRANS-RXN MYRPALMTRAN-RXN
FUCULOKIN-RXN FUCISOM-RXN
TRANS-RXN-20 FUCISOM-RXN
TRANS-RXN-131 GLYCDEH-RXN
GLYCEROL-KIN-RXN GLYCDEH-RXN
RXN0-313 GLYCDEH-RXN
GLYCEROL-2-PHOSPHATASE-RXN GLYCDEH-RXN
RXN0-6467 GLYCDEH-RXN
2.7.1.121-RXN GLYCDEH-RXN
CARDIOLIPSYN-RXN GLYCDEH-RXN
RXN0-6359 RXN-12587
RXN0-308 RXN-12587
RXN-12588 RXN-12587
2.8.1.6-RXN RXN-12587
RXN0-5063 RXN-12587
RXN0-6359 RXN-12588
RXN0-3 RXN-12588
RXN0-279 RXN-12588
SELENOCYSTEINE-LYASE-RXN RXN-12588
TRNA-S-TRANSFERASE-RXN RXN-12588
RXN0-5230 RXN-12588
GLUTCYSLIG-RXN RXN-12588
RXN0-308 RXN-12588
RXN0-5202 RXN-12588
LCYSDESULF-RXN RXN-12588
RXN-11362 RXN-12588
CYSTEINE--TRNA-LIGASE-RXN RXN-12588
ALANINE--TRNA-LIGASE-RXN RXN-12588
RXN0-1924 RXN-12588
RXN-11484 RXN-12588
P-PANTOCYSLIG-RXN RXN-12588
ACSERLY-RXN RXN-12588
ALARACECAT-RXN RXN-12588
O-SUCCHOMOSERLYASE-RXN RXN-12588
2.8.1.6-RXN RXN-12588
RXN0-5063 RXN-12588
CYSTEINE-AMINOTRANSFERASE-RXN RXN-12588
RXN-9787 RXN-12588
VALINE-PYRUVATE-AMINOTRANSFER-RXN RXN-12588
TRANS-RXN-125 RXN-12588
RXN-12587 RXN-12588
THIFIS-RXN RXN-12588
7KAPSYN-RXN RXN-12588
TRANS-RXN0-469 RXN-12588
UDP-NACMUR-ALA-LIG-RXN RXN-12588
RXN-12508 RXN-12583
RXN0-5398 PSEUDOURIDINE-KINASE-RXN
RXN-5077 SULFATE-ADENYLYLTRANS-RXN
ABC-70-RXN SULFATE-ADENYLYLTRANS-RXN
ADENYLYLSULFKIN-RXN SULFATE-ADENYLYLTRANS-RXN
ARYLSULFAT-RXN SULFATE-ADENYLYLTRANS-RXN
RXN0-2121 ABC-5-RXN
COBALADENOSYLTRANS-RXN ABC-5-RXN
RXN0-1565 ABC-5-RXN
GLUTAMIDOTRANS-RXN PRIBFAICARPISOM-RXN
RXN0-5465 RXN0-4621
RXN0-4641 RXN0-4621
RXN0-6436 RXN0-4621
RXN0-4641 GLYOXIII-RXN
DLACTDEHYDROGFAD-RXN GLYOXIII-RXN
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN GLYOXIII-RXN
TRANS-RXN-113 ALTRODEHYDRAT-RXN
DEOXYGLUCONOKIN-RXN ALTRODEHYDRAT-RXN
DHDOGALDOL-RXN ALTRODEHYDRAT-RXN
GLYC3PDEHYDROG-RXN PHOSPHAGLYPSYN-RXN
ABC-34-RXN PHOSPHAGLYPSYN-RXN
PHOSPHASERSYN-RXN PHOSPHAGLYPSYN-RXN
RXN0-5257 PHOSPHAGLYPSYN-RXN
CDPDIGLYPYPHOSPHA-RXN PHOSPHAGLYPSYN-RXN
RXN0-5258 PHOSPHAGLYPSYN-RXN
KDOTRANS-RXN PHOSPHAGLYPSYN-RXN
TRANS-RXN-22 PHOSPHAGLYPSYN-RXN
RXN0-5223 PHOSPHAGLYPSYN-RXN
RXN-1381 PHOSPHAGLYPSYN-RXN
RXN0-5260 PHOSPHAGLYPSYN-RXN
R140-RXN PHOSPHAGLYPSYN-RXN
RXN0-5128 PHOSPHAGLYPSYN-RXN
RXN-11832 PHOSPHAGLYPSYN-RXN
RXN-10462 PHOSPHAGLYPSYN-RXN
PGPPHOSPHA-RXN PHOSPHAGLYPSYN-RXN
KDOTRANS2-RXN PHOSPHAGLYPSYN-RXN
RXN-12198 PHOSPHAGLYPSYN-RXN
RXN-11831 RIBONUCLEOSIDE-DIP-REDUCTII-RXN
DCDPKIN-RXN RIBONUCLEOSIDE-DIP-REDUCTII-RXN
RXN0-748 RIBONUCLEOSIDE-DIP-REDUCTII-RXN
RXN0-747 RIBONUCLEOSIDE-DIP-REDUCTII-RXN
RXN0-722 RIBONUCLEOSIDE-DIP-REDUCTII-RXN
3.1.13.3-RXN RXN0-4223
TRNA-NUCLEOTIDYLTRANSFERASE-RXN RXN0-4223
DNA-DIRECTED-RNA-POLYMERASE-RXN RXN0-4223
RXN0-4701 RXN0-4223
RXN0-6525 RXN0-4223
3.1.13.5-RXN RXN0-4223
2.7.7.8-RXN RXN0-4223
RXN0-4961 RXN0-4223
3.1.26.4-RXN RXN0-4223
3.6.1.19-RXN RXN0-4223
3.1.11.1-RXN RXN0-4223
RXN0-5361 RXN0-4223
3.1.11.2-RXN RXN0-4223
TRANS-RXN-68 ABC-3-RXN
RXN-1961 ABC-3-RXN
LYSINE--TRNA-LIGASE-RXN ABC-3-RXN
RXN0-5192 ABC-3-RXN
TRANS-RXN-58 ABC-3-RXN
LYSDECARBOX-RXN ABC-3-RXN
RXN0-5344 ABC-3-RXN
RXN0-963 ABC-3-RXN
RXN0-3021 TRANS-RXN-141B
ABC-20-RXN TRANS-RXN-141B
RXN0-5250 TRANS-RXN-141B
RXN0-6571 TRANS-RXN-141B
RXN0-6480 RXN0-4222
5-NUCLEOTID-RXN RXN0-4222
RXN0-5251 TRANS-RXN-141A
RIBONUCLEOSIDE-DIP-REDUCTI-RXN THIOREDOXIN-RXN
1.8.4.12-RXN THIOREDOXIN-RXN
RXN0-6385 THIOREDOXIN-RXN
RXN0-6277 THIOREDOXIN-RXN
THIOREDOXIN-REDUCT-NADPH-RXN THIOREDOXIN-RXN
RXN-8668 THIOREDOXIN-RXN
ADPREDUCT-RXN THIOREDOXIN-RXN
RXN0-1147 2OXOGLUTDECARB-RXN
ENTF-RXN ENTG-RXN
TRANS-RXN0-496 ENTG-RXN
DHBAMPLIG-RXN ENTG-RXN
RXN0-1661 ENTG-RXN
ENTMULTI-RXN ENTG-RXN
RXN0-8 ENTG-RXN
TRANS-RXN-118 ABC-26-RXN
RXN-821 ABC-26-RXN
TRANS-RXN-29 ABC-26-RXN
PROLINE--TRNA-LIGASE-RXN ABC-26-RXN
3.4.13.9-RXN ABC-26-RXN
GMP-SYN-NH3-RXN RXN0-1603
GMP-SYN-GLUT-RXN RXN0-1603
S-FORMYLGLUTATHIONE-HYDROLASE-RXN RXN-2962
RXN-2961 RXN-2962
1TRANSKETO-RXN GAPOXNPHOSPHN-RXN
TRANSALDOL-RXN GAPOXNPHOSPHN-RXN
DXS-RXN GAPOXNPHOSPHN-RXN
DEHYDDEOXPHOSGALACT-ALDOL-RXN GAPOXNPHOSPHN-RXN
RXN0-2381 GAPOXNPHOSPHN-RXN
TAGAALDOL-RXN GAPOXNPHOSPHN-RXN
DEOXYRIBOSE-P-ALD-RXN GAPOXNPHOSPHN-RXN
F16ALDOLASE-RXN GAPOXNPHOSPHN-RXN
TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN
2TRANSKETO-RXN GAPOXNPHOSPHN-RXN
RXN0-313 GAPOXNPHOSPHN-RXN
PHOSGLYPHOS-RXN GAPOXNPHOSPHN-RXN
RXN0-6549 RXN-2961
GST-RXN RXN-2961
RXN0-11 RXN-2961
RXN0-21 RXN-2961
RXN-12864 RXN-2961
PRODISULFREDUCT-A-RXN RXN-2961
RXN-2962 RXN-2961
RXN0-6256 RXN-2961
GLUTATHIONE-PEROXIDASE-RXN RXN-2961
RXN-12353 RXN-2961
GLYOXI-RXN RXN-2961
RXN-2881 RXN-2961
GSPSYN-RXN RXN-2961
QUINOLINATE-SYNTHA-RXN RXN-9772
AKBLIG-RXN THREODEHYD-RXN
THREOSPON-RXN THREODEHYD-RXN
R185-RXN TRANS-RXN-56
PHEAMINOTRANS-RXN TRANS-RXN-56
PHENYLALANINE--TRNA-LIGASE-RXN TRANS-RXN-56
YIAE1-RXN 1.1.1.274-RXN
YIAE2-RXN 1.1.1.274-RXN
1.1.1.215-RXN 1.1.1.274-RXN
RXN-12105 1.1.1.274-RXN
GABATRANSAM-RXN TRANS-RXN-57
TRANS-RXN-261 TRANS-RXN-57
TRANS-RXN-68 TRANS-RXN-58
ABC-3-RXN TRANS-RXN-58
RXN-1961 TRANS-RXN-58
LYSINE--TRNA-LIGASE-RXN TRANS-RXN-58
RXN0-5192 TRANS-RXN-58
LYSDECARBOX-RXN TRANS-RXN-58
RXN0-5344 TRANS-RXN-58
RXN0-963 TRANS-RXN-58
TRANS-RXN-126 ABC-15-RXN
BRANCHED-CHAINAMINOTRANSFERILEU-RXN ABC-15-RXN
ISOLEUCINE--TRNA-LIGASE-RXN ABC-15-RXN
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
COBALAMINSYN-RXN COBALADENOSYLTRANS-RXN
RXN0-6555 RXN0-1483
PGLYCEROLTRANSI-RXN PGLYCEROLTRANSII-RXN
TRANS-RXN-92 TRANS-RXN-44
RXN0-2561 TRANS-RXN-44
TRANS-RXN0-493 TRANS-RXN-44
TRANS-RXN-143 TRANS-RXN-42
TRANS-RXN-2 TRANS-RXN-42
TRANS-RXN-3 TRANS-RXN-42
TRANS-RXN0-266 SPERMACTRAN-RXN
ABC-24-RXN SPERMACTRAN-RXN
GSPSYN-RXN SPERMACTRAN-RXN
RXN-7968 3-DEHYDROQUINATE-DEHYDRATASE-RXN
RXN-7967 3-DEHYDROQUINATE-DEHYDRATASE-RXN
SHIKIMATE-5-DEHYDROGENASE-RXN 3-DEHYDROQUINATE-DEHYDRATASE-RXN
ALCOHOL-DEHYDROG-GENERIC-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
ALDEHYDE-DEHYDROGENASE-NADP+-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
ALKAPHOSPHA-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
ACID-PHOSPHATASE-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
R4-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
CARBOXYLESTERASE-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
1.2.99.7-RXN ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
RXN0-295 TRANS-RXN-40
TRANS-RXN-10 TRANS-RXN-40
ABC-2-RXN TRANS-RXN-40
TRANS-RXN-81 RXN0-4161
GLUCUROISOM-RXN RXN0-4161
MANNONOXIDOREDUCT-RXN RXN0-4161
RXN0-5111 TRANS-RXN-105
RXN0-921 TRANS-RXN-105
GLYCOLATEDEHYDRO-RXN TRANS-RXN-105
FUMHYDR-RXN TRANS-RXN-106
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN TRANS-RXN-106
ARGSUCCINLYA-RXN TRANS-RXN-106
R601-RXN TRANS-RXN-106
ASPARTASE-RXN TRANS-RXN-106
TRANS-RXN-121B TRANS-RXN-106
RXN-9772 TRANS-RXN-106
RXN0-5108 COBALAMINSYN-RXN
GMP-REDUCT-RXN COBALAMINSYN-RXN
RXN-7609 COBALAMINSYN-RXN
COBALAMIN5PSYN-RXN COBALAMINSYN-RXN
GUANYL-KIN-RXN COBALAMINSYN-RXN
RIBAZOLEPHOSPHAT-RXN COBALAMINSYN-RXN
GUANPRIBOSYLTRAN-RXN COBALAMINSYN-RXN
TRANS-RXN0-468 TRANS-RXN-108
RXN0-283 TRANS-RXN-101
TRANS-RXN-126B TRANS-RXN-101
TRANS-RXN-126A TRANS-RXN-101
TRANS-RXN-94A TRANS-RXN-101
TRANS-RXN0-235 TRANS-RXN-101
TRANS-RXN-125 TRANS-RXN-101
TRANS-RXN-126 TRANS-RXN-101
TRANS-RXN-130 TRANS-RXN-101
TRANS-RXN-118 TRANS-RXN-101
TRANS-RXN-128 TRANS-RXN-101
TRANS-RXN-129 TRANS-RXN-101
TRANS-RXN-117 TRANS-RXN-101
RXN0-4083 TRANS-RXN-101
RXN0-2561 TRANS-RXN-101
TRANS-RXN-122 TRANS-RXN-101
L-LACTDEHYDROGFMN-RXN TRANS-RXN-104
RXN0-5372 TRANS-RXN-104
RXN0-6489 TRANS-RXN-100
RXN0-3601 TRANS-RXN-100
LCARNCOALIG-RXN TRANS-RXN-100
TRYPTOPHAN--TRNA-LIGASE-RXN TRANS-RXN-76
TRYPTOPHAN-RXN TRANS-RXN-76
RXN0-287 TRANS-RXN-76
RXN0-296 TRANS-RXN-77
RXN-11319 TRANS-RXN-77
TYRAMINOTRANS-RXN TRANS-RXN-77
TYROSINE--TRNA-LIGASE-RXN TRANS-RXN-77
ENTF-RXN TRANS-RXN-71
SERINE--TRNA-LIGASE-RXN TRANS-RXN-71
PHOSPHASERSYN-RXN TRANS-RXN-71
SERINE-O-ACETTRAN-RXN TRANS-RXN-71
TRNA-S-TRANSFERASE-RXN TRANS-RXN-71
GLYOHMETRANS-RXN TRANS-RXN-71
RXN0-2201 TRANS-RXN-71
RXN0-2382 TRANS-RXN-71
TRYPSYN-RXN TRANS-RXN-71
RXN0-4083 TRANS-RXN-71
ENTMULTI-RXN TRANS-RXN-71
RXN0-2161 TRANS-RXN-71
THREODEHYD-RXN TRANS-RXN-72
THREDEHYD-RXN TRANS-RXN-72
THREONINE--TRNA-LIGASE-RXN TRANS-RXN-72
TRANS-RXN-244 TRANS-RXN-72
THREONINE-ALDOLASE-RXN TRANS-RXN-72
GLYC3PDEHYDROG-RXN DARABALDOL-RXN
GLYCOLALDREDUCT-RXN DARABALDOL-RXN
FUCPALDOL-RXN DARABALDOL-RXN
RXN0-5257 DARABALDOL-RXN
QUINOLINATE-SYNTHA-RXN DARABALDOL-RXN
TAGAALDOL-RXN DARABALDOL-RXN
F16ALDOLASE-RXN DARABALDOL-RXN
TRIOSEPISOMERIZATION-RXN DARABALDOL-RXN
RXN0-6563 DARABALDOL-RXN
GLYC3PDEHYDROGBIOSYN-RXN DARABALDOL-RXN
GLYCOLALD-DEHYDROG-RXN DARABALDOL-RXN
RHAMNULPALDOL-RXN DARABALDOL-RXN
METHGLYSYN-RXN DARABALDOL-RXN
RXN0-5363 R167-RXN
RHAMNISOM-RXN TRANS-RXN-112
RXN-12149 TRANS-RXN-112
DEOXYGLUCONOKIN-RXN TRANS-RXN-113
DHDOGALDOL-RXN TRANS-RXN-113
RXN0-283 TRANS-RXN-118
RXN-821 TRANS-RXN-118
TRANS-RXN-126B TRANS-RXN-118
TRANS-RXN-126A TRANS-RXN-118
TRANS-RXN-94A TRANS-RXN-118
ABC-26-RXN TRANS-RXN-118
TRANS-RXN0-235 TRANS-RXN-118
TRANS-RXN-125 TRANS-RXN-118
TRANS-RXN-130 TRANS-RXN-118
TRANS-RXN-126 TRANS-RXN-118
TRANS-RXN-101 TRANS-RXN-118
TRANS-RXN-128 TRANS-RXN-118
TRANS-RXN-129 TRANS-RXN-118
TRANS-RXN-117 TRANS-RXN-118
TRANS-RXN-29 TRANS-RXN-118
3.4.13.9-RXN TRANS-RXN-118
PROLINE--TRNA-LIGASE-RXN TRANS-RXN-118
RXN0-4083 TRANS-RXN-118
RXN0-2561 TRANS-RXN-118
TRANS-RXN-122 TRANS-RXN-118
RXN0-3 RXN-11362
RXN0-279 RXN-11362
RXN-12473 RXN-11362
SELENOCYSTEINE-LYASE-RXN RXN-11362
TRNA-S-TRANSFERASE-RXN RXN-11362
RXN0-5230 RXN-11362
GLUTCYSLIG-RXN RXN-11362
RXN0-308 RXN-11362
RXN0-5202 RXN-11362
LCYSDESULF-RXN RXN-11362
CYSTEINE--TRNA-LIGASE-RXN RXN-11362
ALANINE--TRNA-LIGASE-RXN RXN-11362
RXN0-1924 RXN-11362
RXN-11484 RXN-11362
P-PANTOCYSLIG-RXN RXN-11362
ACSERLY-RXN RXN-11362
ALARACECAT-RXN RXN-11362
O-SUCCHOMOSERLYASE-RXN RXN-11362
CYSTEINE-AMINOTRANSFERASE-RXN RXN-11362
RXN-9787 RXN-11362
VALINE-PYRUVATE-AMINOTRANSFER-RXN RXN-11362
RXN-8342 RXN-11362
TRANS-RXN-125 RXN-11362
RXN-12588 RXN-11362
THIFIS-RXN RXN-11362
7KAPSYN-RXN RXN-11362
TRANS-RXN0-469 RXN-11362
UDP-NACMUR-ALA-LIG-RXN RXN-11362
CYTDEAM-RXN TRANS-RXN-116
RXN-12473 RXN-11361
RXN-11362 RXN-11361
RXN0-283 TRANS-RXN-117
PANTOTHENATE-KIN-RXN TRANS-RXN-117
TRANS-RXN-126B TRANS-RXN-117
TRANS-RXN-126A TRANS-RXN-117
TRANS-RXN-94A TRANS-RXN-117
TRANS-RXN0-235 TRANS-RXN-117
TRANS-RXN-125 TRANS-RXN-117
TRANS-RXN-126 TRANS-RXN-117
TRANS-RXN-130 TRANS-RXN-117
TRANS-RXN-101 TRANS-RXN-117
TRANS-RXN-118 TRANS-RXN-117
TRANS-RXN-128 TRANS-RXN-117
TRANS-RXN-129 TRANS-RXN-117
RXN0-4083 TRANS-RXN-117
